tgl,manufacture,version,max_slot,iploopback,hostname,self_slot,tipe_card,tipe_card_1,cap,port_used,port_idle,list_port_used,node,file2_sto_a,file2_types,file2_platform,file2_sto,file2_sto_l,file2_witel,file2_reg,file2_cluster,file2_longitude,file2_latitude
,,,,,GPON25-D7-PAO-3DKRJ,,,,,,,,,PAO,OTHER,,PAO,MDF-PAO,AMBON,7,,128.2512,-3.63307
,,,,,GPON26-D2-BOO-3,,,,,,,,,BOO,C300v2,NOKIA,BOO,BOGOR,BOGOR,2,,106.79451,-6.59208
,,,,,GPON26-D2-GAN-2,,,,,,,,,GAN,MA5800-X17,NOKIA,GAN,GANDARIA,JAKTIM,2,,106.8698,-6.33056
,,,,,GPON26-D2-GAN-2AGG,,,,,,,,,GAN,MA5600T,HUAWEI,GAN,GANDARIA,JAKTIM,2,,106.8698,-6.33056
,,,,,GPON26-D2-PLM-3,,,,,,,,,PLM,C600,NOKIA,PLM,PALMERAH,JAKBAR,2,,106.7833,-6.21172
,,,,,GPON26-D3-SMD-4HARIANG,,,,,,,,,SMD,,NOKIA,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON26-D4-KBU-2,,,,,,,,,KBU,MA5600T,HUAWEI,KBU,YOKYAKARTA KOTABARU,YOGYAKARTA,4,,110.37509,-7.78603
,,,,,GPON26-D5-UBN-3DAL,,,,,,,,,UBN,C620,,UBN,UBUNG,DENPASAR,5,,115.20662,-8.63442
,,,,,GPON26-D7-PAO-3,,,,,,,,,PAO,OTHER,,PAO,MDF-PAO,AMBON,7,,128.2512,-3.63307
,,,,,GPON27-D2-BOO-3,,,,,,,,,BOO,C300v2,NOKIA,BOO,BOGOR,BOGOR,2,,106.79451,-6.59208
,,,,,GPON27-D3-SMD-4,,,,,,,,,SMD,,NOKIA,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON27-D3-SMD-4SUNDAMEKAR,,,,,,,,,SMD,,,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON27-D4-KBU-2,,,,,,,,,KBU,MA5600T,HUAWEI,KBU,YOKYAKARTA KOTABARU,YOGYAKARTA,4,,110.37509,-7.78603
,,,,,GPON27-D5-UBN-3TGB,,,,,,,,,UBN,OTHER,HUAWEI,UBN,UBUNG,DENPASAR,5,,115.20662,-8.63442
,,,,,GPON28-D2-BOO-3,,,,,,,,,BOO,C300v2,NOKIA,BOO,BOGOR,BOGOR,2,,106.79451,-6.59208
,,,,,GPON28-D3-SMD-4RANCAKALONG,,,,,,,,,SMD,,NOKIA,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON28-D4-KBU-2,,,,,,,,,KBU,MA5600T,HUAWEI,KBU,YOKYAKARTA KOTABARU,YOGYAKARTA,4,,110.37509,-7.78603
,,,,,GPON28-D5-UBN-3,,,,,,,,,UBN,OTHER,HUAWEI,UBN,UBUNG,DENPASAR,5,,115.20662,-8.63442
,,,,,GPON29-D2-BOO-3,,,,,,,,,BOO,C300v2,NOKIA,BOO,BOGOR,BOGOR,2,,106.79451,-6.59208
,,,,,GPON29-D3-SMD-4CILANGKAP,,,,,,,,,SMD,,NOKIA,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON29-D4-KBU-3,,,,,,,,,KBU,C600,HUAWEI,KBU,YOKYAKARTA KOTABARU,YOGYAKARTA,4,,110.37509,-7.78603
,,,,,GPON3-D2-GBC-3GID,,,,,,,,,GBC,,NOKIA,GBC,CIKINI,JAKPUS,2,,106.7063,-6.19876
,,,,,GPON30-D2-BOO-4,,,,,,,,,BOO,AN5116-06B,NOKIA,BOO,BOGOR,BOGOR,2,,106.79451,-6.59208
,,,,,GPON30-D3-SMD-4,,,,,,,,,SMD,,NOKIA,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON30-D3-SMD-4BONGKOK,,,,,,,,,SMD,,,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON30-D4-KBU-3,,,,,,,,,KBU,OTHER,HUAWEI,KBU,YOKYAKARTA KOTABARU,YOGYAKARTA,4,,110.37509,-7.78603
,,,,,GPON31-D2-BOO-3,,,,,,,,,BOO,C300v2,NOKIA,BOO,BOGOR,BOGOR,2,,106.79451,-6.59208
,,,,,GPON31-D3-SMD-4,,,,,,,,,SMD,,NOKIA,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON31-D3-SMD-4RJG,,,,,,,,,SMD,,,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,GPON32-D2-BOO-3,,,,,,,,,BOO,C600,NOKIA,BOO,BOGOR,BOGOR,2,,106.79451,-6.59208
,,,,,GPON43-D2-KTZ-2,,,,,,,,,KTZ,MA5600T,HUAWEI,KTZ,MANGGA BESAR,JAKUT,2,,106.0191,-6.77815
,,,,,GPONO4-D4-GNK-3,,,,,,,,,GNK,C600,,GNK,SEMARANG GENUK,SEMARANG,4,,110.46115,-6.95656
,,,,,HRB-D4-AYANI,,,,,,,,,AYANI,CX600-X3,HUAWEI,,,,4,,110.30285,-7.79375
,,,,,HRB-D4-PKNET,,,,,,,,,PKNET,,HUAWEI,,,,4,,110.4168115,-6.9941902
,,,,,HRB-D4-TSELGBL,,,,,,,,,GBL,,,GBL,GOMBEL,SEMARANG,4,,110.42713,-7.03852
,,,,,HRB-D4-TSELMARGO,,,,,,,,,TSELMARGO,CX600-X3,HUAWEI,,TELKOMSEL KUDUS,KUDUS,4,,110.74604,-6.80679
,,,,,HRB-D4-TSELNUS,,,,,,,,,TSELNUS,CX600,HUAWEI,,TELKOMSEL SOLO,SOLO,4,,110.82624,-7.57082
,,,,,HRB-D4-UGM,,,,,,,,,UGM,CX600-X3,HUAWEI,KBU,YOGYAKARTA KOTABARU,YOGYAKARTA,4,,110.37463,-7.78596
,,,,,HRB-D4-UNES,,,,,,,,,UNES,CX600-X3,HUAWEI,GBL,GOMBEL,SEMARANG,4,,110.42713,-7.03852
,,,,,HRB-D4-UNS,,,,,,,,,UNS,CX600-X3,HUAWEI,,SOLO BARU,SOLO,4,,110.80186,-7.57082
,,,,,HRB-D5-ADHIWANGSA,,,,,,,,,DMO,,CISCO,DMO,DARMO,SURABAYA SELATAN,5,,112.73625,-7.28831
,,,,,HRB-D5-BII,,,,,,,,,BII,CX600,HUAWEI,MGO,MERGOYOSO,SURABAYA UTARA,5,,112.73976,-7.26164
,,,,,HRB-D5-BRITOWER,,,,,,,,,BRITOWER,,CISCO,MGO,MERGOYOSO,SURABAYA UTARA,5,,112.73999,-7.26219
,,,,,HRB-D5-DHARMALA,,,,,,,,,DHARMALA,,HUAWEI,MGO,MERGOYOSO,SURABAYA UTARA,5,,112.73506,-7.26253
,,,,,HRB-D5-JWMARRIOT,,,,,,,,,JWMARRIOT,,,MGO,MERGOYOSO,SURABAYA UTARA,5,,112.73999,-7.26219
,,,,,HRB-D5-REN-TSEL,,,,,,,,,REN,,,,TELKOMSEL RENON,DENPASAR,5,,115.23836,-8.66551
,,,,,HRB-D7-APMKS,,,,,,,,,APMKS,CX600(V8),HUAWEI,SUD,SUDIANG,MAKASAR,7,,119.525,-5.06919
,,,,,HRB-D7-PGY-TSEL,,,,,,,,,PGY,CX600(V8),HUAWEI,,TELKOMSEL PENGAYOMAN,MAKASAR,7,,119.43467,-5.15816
,,,,,HRB-D7-SUD-TSEL,,,,,,,,,SUD,CX600(V8),HUAWEI,SUD,SUDIANG,MAKASAR,7,,119.525,-5.06919
,,,,,HRB-D7-TLN-TSEL,,,,,,,,,TLN,CX600(V8),HUAWEI,,TELKOMSEL TELING,MENADO,7,,124.8509,1.46419
,,,,,HRB2-D5-DHARMALA,,,,,,,,,DHARMALA,CX600,HUAWEI,,KETINTANG,SURABAYA SELATAN,5,,112.00189,-7.24334
,,,,,HRB2-D5-GPN,,,,,,,,,GPN,CX600-8,HUAWEI,,KETINTANG,SURABAYA SELATAN,5,,112.72777,-7.31064
,,,,,HRB2-D5-PAPT2,,,,,,,,,PAPT2,CX600-X3,HUAWEI,JGR,JAGIR,SURABAYA SELATAN,5,,112.7737,-7.32774
,,,,,HRB2-D5-REN-TSEL,,,,,,,,,REN,CX600,HUAWEI,,TELKOMSEL RENON,DENPASAR,5,,115.23836,-8.66551
,,,,,HRB2-D7-APMKS,,,,,,,,,APMKS,,,,,,7,,119.525,-5.06919
,,,,,HRB2-D7-SUD-TSEL,,,,,,,,,SUD,CX600(V8),HUAWEI,SUD,SUDIANG,MAKASAR,7,,119.525,-5.06919
,,,,,HRB3-D5-GPN,,,,,,,,,GPN,,,,KETINTANG,SURABAYA SELATAN,5,,112.72777,-7.31064
,,,,,HRB3-D5-SIGMA,,,,,,,,,SIGMA,CX600,HUAWEI,LKI,LAKARSANTRI,SURABAYA UTARA,5,,112.6635,-7.31204
,,,,,ME-A-JKT-PLM,,,,,,,,,PLM,,ALCATEL-LUCENT,PLM,PALMERAH,JAKBAR,2,,106.7833,-6.21172
,,,,,ME-A-JTG-BBI,,,,,,,,,JTG,,TELLABS,JTG,MANONJAYA,TASIKMALAYA,3,,108.31224,-7.35189
,,,,,ME-A-JTG-BMK,,,,,,,,,BMK,,TELLABS,BMK,SEMARANG BANYUMANIK,SEMARANG,4,,110.41974,-7.04857
,,,,,ME-A-JTG-CDI,,,,,,,,,CDI,,TELLABS,SMC,SEMARANG CANDI,SEMARANG,4,,110.42993,-7.01123
,,,,,ME-A-JTG-GBL,,,,,,,,,JTG,,TELLABS,GBL,GOMBEL,SEMARANG,4,,110.42664,-7.04421
,,,,,ME-A-JTG-GLK,,,,,,,,,GLK,,TELLABS,GLK,SOLO GLADAK,SOLO,4,,110.82932,-7.57272
,,,,,ME-A-JTG-JHR,,,,,,,,,JTG,,TELLABS,JHR,SEMARANG JOHAR,SEMARANG,4,,110.41207,-6.9818
,,,,,ME-A-JTG-KBU,,,,,,,,,KBU,,TELLABS,KBU,YOKYAKARTA KOTABARU,YOGYAKARTA,4,,110.37497,-7.78676
,,,,,ME-A-JTG-KDS,,,,,,,,,KDS,,TELLABS,LKG,LENGKONG,TANGERANG,2,,106.66365,-6.29086
,,,,,ME-A-JTG-KGD,,,,,,,,,KGD,,TELLABS,KGD,KOTA GEDE,YOGYAKARTA,4,,110.40098,-7.82053
,,,,,ME-A-JTG-KTG,,,,,,,,,JTG,,TELLABS,JTG,MANONJAYA,TASIKMALAYA,3,,108.31224,-7.35189
,,,,,ME-A-JTG-MGL,,,,,,,,,MGL,,TELLABS,MGE,MAGELANG,MAGELANG,4,,110.21629,-7.47467
,,,,,ME-A-JTG-PGR,,,,,,,,,PGR,,TELLABS,PGR,PUGERAN,YOGYAKARTA,4,,110.36052,-7.81394
,,,,,ME-A-JTG-PWD,,,,,,,,,PWD,,TELLABS,PWD,PURWODADI GROBOGAN,KUDUS,4,,110.91364,-7.0958
,,,,,ME-A-JTG-SMN,,,,,,,,,SMN,,TELLABS,SMN,SLEMAN,YOGYAKARTA,4,,110.35609,-7.71495
,,,,,ME-A-JTG-SPL,,,,,,,,,JTG,,TELLABS,,,,4,,110.35609,-7.71495
,,,,,ME-A-JWB-BJN,,,,,,,,,BJN,7750 SR-7,ALCATEL-LUCENT,BJA,BANJARAN,BANDUNG BARAT,3,,107.59083,-7.04785
,,,,,ME-A-JWB-CCD,,,,,,,,,CCD,,ALCATEL-LUCENT,CCD,CICADAS,BANDUNG,3,,107.64958,-6.90543
,,,,,ME-A-JWB-GRT,,,,,,,,,GRT,7750 SR-7,ALCATEL-LUCENT,GRU,GARUT,TASIKMALAYA,3,,107.84421,-7.10138
,,,,,ME-A-JWB-IMY,,,,,,,,,IMY,7750 SR-7,ALCATEL-LUCENT,IMY,INDRAMAYU,CIREBON,3,,107.26684,-7.10091
,,,,,ME-A-JWB-JTW,,,,,,,,,JTW,7750 SR-7,ALCATEL-LUCENT,JTW,JATIWANGI,CIREBON,3,,108.25499,-6.7213
,,,,,ME-A-JWB-KAW,,,,,,,,,KAW,7750 SR-7,ALCATEL-LUCENT,KAW,KAWALI,TASIKMALAYA,3,,108.3729,-7.18962
,,,,,ME-A-JWB-KNG,,,,,,,,,KNG,7750 SR-7,ALCATEL-LUCENT,KNG,KUNINGAN,CIREBON,3,,108.4778,-6.98111
,,,,,ME-A-JWB-PAT,,,,,,,,,PAT,7750 SR-7,ALCATEL-LUCENT,PTR,PATROL,CIREBON,3,,107.98462,-6.31239
,,,,,ME-A-JWB-RDC,,,,,,,,,RDC,7750 SR-7,ALCATEL-LUCENT,GGK,BANDUNG GEGERKALONG,BANDUNG,3,,107.5893,-6.87014
,,,,,ME-A-JWB-SKB,,,,,,,,,SKB,7750 SR-7,ALCATEL-LUCENT,SKB,SUKABUMI,SUKABUMI,3,,98.70146,3.56785
,,,,,ME-A-JWB-SMD,,,,,,,,,SMD,7750 SR-7,ALCATEL-LUCENT,SMD,SUMEDANG,BANDUNG,3,,107.9193617,-6.8591715
,,,,,ME-A-JWB-SNT,,,,,,,,,JWB,,ALCATEL-LUCENT,LBG,LEMBONG,BANDUNG,3,,107.6163,-6.80969
,,,,,ME-A-JWB-SUB,,,,,,,,,SUB,7750 SR-7,ALCATEL-LUCENT,SUB,SUBANG,BANDUNG,3,,107.7576575,-6.5562645
,,,,,ME-A-JWB-TSM,,,,,,,,,TSM,7750 SR-7,ALCATEL-LUCENT,TSM,TASIKMALAYA,TASIKMALAYA,3,,108.2222,-7.32472
,,,,,ME-A-JWB-TTC,,,,,,,,,TTC,7750 SR-7,ALCATEL-LUCENT,GGK,BANDUNG GEGERKALONG,BANDUNG,3,,107.5893,-6.87014
,,,,,ME-A-KTI-BAL,,,,,,,,,BAL,,TELLABS,BAL,BALAIKOTA,MAKASAR,7,,119.408,-5.13458
,,,,,ME-B-JKT-BJT,,,,,,,,,JKT,,ALCATEL-LUCENT,BJT,BOJOT,SERANG,2,,106.3533,-6.29671
,,,,,ME-B-JKT-CGD,,,,,,,,,CGD,,ALCATEL-LUCENT,CGD,CIGUDEG,BOGOR,2,,106.5333,-6.55
,,,,,ME-B-JKT-DUM,,,,,,,,,DUM,,ALCATEL-LUCENT,DTM,DUTA MAS,JAKBAR,2,,106.7621,-6.15809
,,,,,ME-B-JKT-PSU,,,,,,,,,PSU,,ALCATEL-LUCENT,PSU,PASAURAN,SERANG,2,,105.8298,-6.25872
,,,,,ME-B-JKT-TNK,,,,,,,,,TNK,,ALCATEL-LUCENT,TNK,TANAH KUSIR,JAKSEL,2,,106.77216,-6.25528
,,,,,ME-B-JWB-AWN,,,,,,,,,AWN,7450 ESS-6,ALCATEL-LUCENT,AWN,ARJAWINANGUN,CIREBON,3,,108.4053,-6.64806
,,,,,ME-B-JWB-BJR,,,,,,,,,BJR,,ALCATEL-LUCENT,BNJ,BANJAR,TASIKMALAYA,3,,108.53388,-7.36713
,,,,,ME-B-JWB-BJS,,,,,,,,,BJS,7750 SR-a8,ALCATEL-LUCENT,BJS,BANJARSARI,TASIKMALAYA,3,,108.6125,-7.48778
,,,,,ME-B-JWB-BON,,,,,,,,,BON,7450 ESS-6,ALCATEL-LUCENT,BON,BALONGAN,CIREBON,3,,108.4132,-6.40087
,,,,,ME-B-JWB-CBL,,,,,,,,,CBL,7450 ESS-6,ALCATEL-LUCENT,CBL,CIBALONG,TASIKMALAYA,3,,108.1842,-7.5142
,,,,,ME-B-JWB-CBT,,,,,,,,,CBT,7450 ESS-6,ALCATEL-LUCENT,CBT,CIBATU,TASIKMALAYA,3,,107.076,-6.27129
,,,,,ME-B-JWB-CIW,,,,,,,,,CIW,7450 ESS-6,ALCATEL-LUCENT,CIW,CIAWI,TASIKMALAYA,3,,108.1469,-7.1455
,,,,,ME-B-JWB-CKG,,,,,,,,,CKG,7450 ESS-6,ALCATEL-LUCENT,CKJ,CIKAJANG,TASIKMALAYA,3,,108.3537,-7.01103
,,,,,ME-B-JWB-CKJ,,,,,,,,,CKJ,7450 ESS-6,ALCATEL-LUCENT,CKJ,CIKAJANG,TASIKMALAYA,3,,108.3537,-7.01103
,,,,,ME-B-JWB-CLK,,,,,,,,,CLK,7750 SR-7,ALCATEL-LUCENT,CCL,CICALENGKA,BANDUNG BARAT,3,,107.57814,-6.92949
,,,,,ME-B-JWB-CLM,,,,,,,,,CLM,7450 ESS-6,ALCATEL-LUCENT,CLM,CILAMAYA,KARAWANG,3,,107.5814,-6.25088
,,,,,ME-B-JWB-CMS,,,,,,,,,CMS,,ALCATEL-LUCENT,CMS,CIAMIS,TASIKMALAYA,3,,108.34348,-7.32589
,,,,,ME-B-JWB-CSM,,,,,,,,,CSM,7450 ESS-6,ALCATEL-LUCENT,CAS,CIASEM,BANDUNG,3,,107.66303,-6.33859
,,,,,ME-B-JWB-DGO,,,,,,,,,DGO,,ALCATEL-LUCENT,DGO,BANDUNG DAGO,BANDUNG,3,,107.626,-6.89025
,,,,,ME-B-JWB-GGK,,,,,,,,,GGK,,ALCATEL-LUCENT,GGK,BANDUNG GEGERKALONG,BANDUNG,3,,107.5893,-6.87014
,,,,,ME-B-JWB-HAR,,,,,,,,,HAR,7450 ESS-6,ALCATEL-LUCENT,HAR,HAURGEULIS,CIREBON,3,,107.9465,-6.43839
,,,,,ME-B-JWB-JBL,,,,,,,,,JBL,7750 SR-7,ALCATEL-LUCENT,JBN,JAMBLANG,CIREBON,3,,108.29203,-6.70986
,,,,,ME-B-JWB-JPT,,,,,,,,,JWB,7450 ESS-6,ALCATEL-LUCENT,,JAPATI,BANDUNG,3,,107.61679,-6.89944
,,,,,ME-B-JWB-JTB,,,,,,,,,JTB,7450 ESS-6,ALCATEL-LUCENT,JTB,JATIBARANG,CIREBON,3,,108.3017,-6.46956
,,,,,ME-B-JWB-KAL,,,,,,,,,JWB,7450 ESS-6,ALCATEL-LUCENT,KNU,KARANG NUNGGAL,TASIKMALAYA,3,,108.13268,-7.63227
,,,,,ME-B-JWB-KCI,,,,,,,,,KCI,7450 ESS-6,ALCATEL-LUCENT,CKC,CIREBON KANCI,CIREBON,3,,108.62228,-6.7824
,,,,,ME-B-JWB-KDA,,,,,,,,,KDA,7750 SR-7,ALCATEL-LUCENT,KDN,KADUNGORA,TASIKMALAYA,3,,107.8980299,-7.0950126
,,,,,ME-B-JWB-KLJ,,,,,,,,,KLJ,,ALCATEL-LUCENT,KIA,KALIJATI,BANDUNG,3,,107.67287,-6.52104
,,,,,ME-B-JWB-KNG,,,,,,,,,KNG,,ALCATEL-LUCENT,KNG,KUNINGAN,CIREBON,3,,108.4778,-6.98111
,,,,,ME-B-JWB-KRL,,,,,,,,,KRL,7450 ESS-6,ALCATEL-LUCENT,KRL,KARANGLIGAR,KARAWANG,3,,107.2716,-6.29714
,,,,,ME-B-JWB-LAG,,,,,,,,,LAG,7450 ESS-6,ALCATEL-LUCENT,LAG,LIMBANGAN,TASIKMALAYA,3,,107.9828,-7.04217
,,,,,ME-B-JWB-LOS,,,,,,,,,LOS,7450 ESS-6,ALCATEL-LUCENT,LOS,LOSARI,CIREBON,3,,108.8042,-6.84194
,,,,,ME-B-JWB-LSR,,,,,,,,,LSR,7750 SR-7,ALCATEL-LUCENT,LSR,LOSARANG,CIREBON,3,,108.1572,-6.39482
,,,,,ME-B-JWB-LWD,,,,,,,,,LWD,,ALCATEL-LUCENT,LWD,LEUWIDAMAR,SERANG,2,,106.1905,-6.38255
,,,,,ME-B-JWB-MEN,,,,,,,,,MEN,,ALCATEL-LUCENT,MEN,MENES,SERANG,2,,106.82387,-6.13585
,,,,,ME-B-JWB-MJL,,,,,,,,,JWB,,ALCATEL-LUCENT,MJL,MAJALENGKA,CIREBON,3,,108.2299,-6.83514
,,,,,ME-B-JWB-MLO,,,,,,,,,MLO,7450 ESS-6,ALCATEL-LUCENT,MLB,MALANGBONG,TASIKMALAYA,3,,107.91727,-7.10708
,,,,,ME-B-JWB-MLP,,,,,,,,,MLP,,ALCATEL-LUCENT,MLP,MALINGPING,SERANG,2,,106.0191,-6.77815
,,,,,ME-B-JWB-MON,,,,,,,,,MON,7750 SR-a8,ALCATEL-LUCENT,JTG,MANONJAYA,TASIKMALAYA,3,,108.31224,-7.35189
,,,,,ME-B-JWB-PAB,,,,,,,,,PAB,7450 ESS-6,ALCATEL-LUCENT,PAB,PABUARAN CIREBON,CIREBON,3,,108.7211,-6.90433
,,,,,ME-B-JWB-PAU,,,,,,,,,PAU,7750 SR-7,ALCATEL-LUCENT,PBS,PABUARAN SUBANG,BANDUNG,3,,107.49512,-6.4366
,,,,,ME-B-JWB-PGD,,,,,,,,,JWB,7450 ESS-6,ALCATEL-LUCENT,PGD,PAGADEN,BANDUNG,3,,107.8175,-6.45532
,,,,,ME-B-JWB-PGN,,,,,,,,,PGN,7450 ESS-6,ALCATEL-LUCENT,PAX,PANGANDARAN,TASIKMALAYA,3,,108.26249,-7.45643
,,,,,ME-B-JWB-PLD,,,,,,,,,PLD,7750 SR-a8,ALCATEL-LUCENT,PLD,PLERED,KARAWANG,3,,108.5026443,-6.7104435
,,,,,ME-B-JWB-PLR,,,,,,,,,PLR,,ALCATEL-LUCENT,PLR,PELABUHAN RATU,SUKABUMI,3,,106.5513,-6.98913
,,,,,ME-B-JWB-PMN,,,,,,,,,PMN,7750 SR-7,ALCATEL-LUCENT,PMN,PAMANUKAN,BANDUNG,3,,107.78801,-6.28531
